value,description,name,table
UMS,UMSTEAD CORRECTIONAL CENTER                       ,inmate,inputs/Lookup/tblInmateHousing.csv
VAN,VANCE CORRECTIONAL INSTITUTION                    ,inmate,inputs/Lookup/tblInmateHousing.csv
VCI,VALDOSTA CORRECTIONAL INSTITUTE,inmate,inputs/Lookup/tblInmateHousing.csv
VSP,VIRGINIA STATE PENITENTIARY                       ,inmate,inputs/Lookup/tblInmateHousing.csv
WAK,WAKE CORRECTIONAL CENTER,inmate,inputs/Lookup/tblInmateHousing.csv
WAL,WALKER CORRECTIONAL INSTITUTION                   ,inmate,inputs/Lookup/tblInmateHousing.csv
WAR,WARE CORRECTIONAL INSTITUTION,inmate,inputs/Lookup/tblInmateHousing.csv
WAT,WATERBEE CORRECTIONAL INSTITUTION                 ,inmate,inputs/Lookup/tblInmateHousing.csv
WAY,WAYNE CORRECTIONAL INSTITUTE,inmate,inputs/Lookup/tblInmateHousing.csv
WCC,WOMEN'S CORRECTIONAL CENTER,inmate,inputs/Lookup/tblInmateHousing.csv
WCI,WOMRN'S CORRECTIONAL INSTITUTION                  ,inmate,inputs/Lookup/tblInmateHousing.csv
WCP,WEST CENTRAL PRISON,inmate,inputs/Lookup/tblInmateHousing.csv
WDC,WILLIAM DONALDSON CORRECTIONAL FACILITY           ,inmate,inputs/Lookup/tblInmateHousing.csv
WES,WESTERN YOUTH INSTITUTION,inmate,inputs/Lookup/tblInmateHousing.csv
WHI,WHITEVILLE PRISON UNIT,inmate,inputs/Lookup/tblInmateHousing.csv
WIL,WILCOX C.I.                                       ,inmate,inputs/Lookup/tblInmateHousing.csv
WLD,WALDEN CORRECTIONAL INSTITUTION,inmate,inputs/Lookup/tblInmateHousing.csv
WLK,WILKES CORRECTIONAL CENTER,inmate,inputs/Lookup/tblInmateHousing.csv
WNE,WAYNE CORRECTIONAL                                ,inmate,inputs/Lookup/tblInmateHousing.csv
WOM,NC CORR. INSTITUTION FOR WOMEN,inmate,inputs/Lookup/tblInmateHousing.csv
WRE,WATEREE RIVER C.I.,inmate,inputs/Lookup/tblInmateHousing.csv
WRN,WARREN CORRECTIONAL CENTER,inmate,inputs/Lookup/tblInmateHousing.csv
WSH,WASHINGTON CORRECTIONAL INSTITUTE                 ,inmate,inputs/Lookup/tblInmateHousing.csv
YAD,YADKIN CORRECTIONAL CENTER,inmate,inputs/Lookup/tblInmateHousing.csv
YDC,"YOUTH CENTER, DISTRICT OF COLUMBIA                ",inmate,inputs/Lookup/tblInmateHousing.csv
YKN,YADKIN CORRECTIONAL CENTER                        ,inmate,inputs/Lookup/tblInmateHousing.csv
ADI,ADIRONDACK CORRECTIONAL FACILITY,inmate,inputs/Lookup/tblInmateHousing.csv
AKL,ARTHUR KILL CORRECTIONAL FACILITY,inmate,inputs/Lookup/tblInmateHousing.csv
ALB,*SCI-ALBION CORRECTIONAL FACILITY,inmate,inputs/Lookup/tblInmateHousing.csv
ALD,ALDERSON FEDERAL CORRECTIONAL INSTITUTE,inmate,inputs/Lookup/tblInmateHousing.csv
ALT,ALTONA CORRECTIONAL FACILITY,inmate,inputs/Lookup/tblInmateHousing.csv
ALW,WARDEN,inmate,inputs/Lookup/tblInmateHousing.csv
ATT,ATTICA CORRECTIONAL FACILITY,inmate,inputs/Lookup/tblInmateHousing.csv
AUB,AUBURN CORRECTIONAL FACILITY,inmate,inputs/Lookup/tblInmateHousing.csv
AXJ,MARYLAND CORRECTIONAL INSTITUTE ANNEX AT JESSUP,inmate,inputs/Lookup/tblInmateHousing.csv
BAR,BARE HILL CORRECTIONAL FACILITY,inmate,inputs/Lookup/tblInmateHousing.csv
BAY,BAYVIEW CORRECTIONAL FACILITY,inmate,inputs/Lookup/tblInmateHousing.csv
BEA,CAMP BEACON,inmate,inputs/Lookup/tblInmateHousing.csv
BED,BEDFORD HILLS CORRECTIONAL FACILITY,inmate,inputs/Lookup/tblInmateHousing.csv
BRO,BROCKBRIDGE CORRECTIONAL FACILITY,inmate,inputs/Lookup/tblInmateHousing.csv
BUC,BUCKINGHAM CORRECTIONAL FACILITY,inmate,inputs/Lookup/tblInmateHousing.csv
BUT,BUTLER SHOCK INCARCERATION FACILITY,inmate,inputs/Lookup/tblInmateHousing.csv
CAM,CAMP GABRIELS,inmate,inputs/Lookup/tblInmateHousing.csv
CAY,CAYUGA CORRECTIONAL FACILITY,inmate,inputs/Lookup/tblInmateHousing.csv
CGT,CAMP GEORGETOWN,inmate,inputs/Lookup/tblInmateHousing.csv
CHA,CHATEAUGAY ASACTC,inmate,inputs/Lookup/tblInmateHousing.csv
CLI,CLINTON CORRECTIONAL FACILITY,inmate,inputs/Lookup/tblInmateHousing.csv
CMT,MONTEREY SHOCK INCARCERATION FACILITY,inmate,inputs/Lookup/tblInmateHousing.csv
